ADP-ID,STAND_COUNT,SITES,REPS,DISEASE SCORE 3rd JUNE,DISEASE_SCORE 9TH JUNE,DISEASE_SCORE19THJUNE,BLOCKS
ADP0019,21,1,1,1,2,3,13
ADP0065,23,1,1,1,1,1,13
ADP0475,25,1,1,1,2,2,13
ADP0536,21,1,1,1,1,1,13
ADP0288,25,1,1,2,3,5,13
ADP0028,23,1,1,1,2,5,13
ADP0479,24,1,1,1,2,3,13
ADP0016,27,1,1,1,2,3,13
ADP0012,21,1,1,2,2,4,13
ADP0560,33,1,1,1,2,2,14
ADP0570,26,1,1,1,1,4,14
ADP0581,31,1,1,1,1,3,14
ADP0543,26,1,1,1,1,1,14
ADP0040,18,1,1,1,2,3,14
ADP0102,30,1,1,1,2,2,14
ADP0046,20,1,1,1,2,4,14
ADP0111,22,1,1,2,1,4,14
ADP0103,22,1,1,1,2,4,14
ADP0532,29,1,1,1,1,1,14
ADP0481,20,1,1,1,1,2,14
ADP0303,22,1,1,1,3,5,14
ADP0022,18,1,1,1,2,2,14
ADP0015,27,1,2,1,2,4,1
ADP0078,24,1,2,1,2,2,1
ADP0018,22,1,2,1,2,2,1
loc0005,31,1,2,1,2,1,1
ADP0562,31,1,2,1,2,2,1
ADP0075,28,1,2,1,2,2,1
ADP0584,32,1,2,1,1,2,1
ADP0027,21,1,2,1,1,2,1
ADP0038,27,1,2,1,2,4,1
ADP0051,24,1,2,1,1,2,1
ADP0648,28,1,2,1,1,3,1
ADP0555,28,1,2,1,1,2,1
ADP0546,32,1,2,1,1,4,1
ADP0031,25,1,2,1,2,5,2
ADP0310,31,1,2,1,2,5,2
ADP0100,24,1,2,1,1,4,2
ADP0717,25,1,2,1,1,2,2
ADP0651,24,1,2,1,1,3,2
ADP0581,30,1,2,1,3,2,2
ADP0020,28,1,2,1,1,3,2
ADP0561,30,1,2,1,2,2,2
ADP0543,23,1,2,2,1,2,2
ADP0255,23,1,2,1,2,5,2
ADP0471,24,1,2,1,1,1,2
ADP0580,25,1,2,2,3,5,2
ADP0098,32,1,2,1,3,1,3
ADP0392,28,1,2,1,3,5,3
ADP0540,28,1,2,1,1,1,3
ADP0211,26,1,2,2,1,4,3
ADP0582,29,1,2,1,2,4,3
ADP0654,27,1,2,1,3,4,3
ADP0719,27,1,2,1,1,2,3
ADP0288,30,1,2,1,3,5,3
ADP0016,29,1,2,2,1,2,3
ADP0012,27,1,2,1,1,5,3
ADP0303,28,1,2,1,3,5,3
ADP0022,24,1,2,2,1,5,3
ADP0103,23,1,2,1,2,5,3
ADP0040,23,1,2,1,2,5,3
ADP0467,22,1,2,1,3,5,4
ADP0045,22,1,2,1,1,1,4
ADP0354,28,1,2,1,1,1,4
ADP0166,32,1,2,1,1,3,4
ADP0468,32,1,2,1,1,1,4
ADP0048,21,1,2,1,2,2,4
ADP0126,25,1,2,1,2,2,4
ADP0551,25,1,2,1,1,1,4
ADP0112,30,1,2,1,1,4,4
ADP0526,32,1,2,1,1,2,4
ADP0086,30,1,2,1,1,3,4
ADP0214,32,1,2,1,1,1,4
ADP0089,26,1,2,1,1,1,5
ADP0054,32,1,2,1,4,5,5
ADP0536,12,1,2,1,1,3,5
ADP0481,27,1,2,1,3,4,5
ADP0659,26,1,2,1,1,2,5
ADP0478,19,1,2,1,1,2,5
ADP0168,31,1,2,1,3,5,5
ADP0011,27,1,2,1,1,5,5
ADP0224,20,1,2,1,3,5,5
ADP0530,30,1,2,1,1,5,5
ADP0035,28,1,2,1,1,4,5
ADP0383,14,1,2,1,1,1,6
ADP0121,19,1,2,1,3,3,6
ADP0030,21,1,2,1,1,1,6
ADP0569,26,1,2,2,4,5,6
ADP0554,29,1,2,1,1,4,6
ADP0041,23,1,2,1,1,1,6
ADP0516,17,1,2,1,1,1,6
ADP0662,26,1,2,1,2,5,6
ADP0043,31,1,2,1,2,3,6
ADP0052,21,1,2,1,1,1,6
ADP0379,16,1,2,1,2,4,6
ADP0025,20,1,2,1,2,5,6
ADP0247,25,1,2,1,2,5,6
ADP0017,22,1,2,2,3,5,7
ADP0267,28,1,2,1,2,2,7
ADP0663,21,1,2,2,4,3,7
ADP0199,20,1,2,1,1,3,7
ADP0539,28,1,2,1,2,4,7
ADP0046,27,1,2,1,3,3,7
ADP0019,24,1,2,1,2,3,7
